rank,package_name,version,manifest_declared_license,physical_license_type,physical_license_files,has_third_party_notices,in_code_headers,conflicts_count,verdict,verdict_reason,physical_license_snippet
1214,mkalkbrenner/php-htmldiff-advanced,0.0.8,GNU General Public License V2,GPL_COPYLEFT,LICENSE,YES,,2,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,Unresolved copyleft conflict with: caxy/php-htmldiff (GPL-2.0),"--- mkalkbrenner-php-htmldiff-3a714b4/LICENSE --- GNU GENERAL PUBLIC LICENSE Version 2, June 1991"
1225,yiisoft/yii2-debug,2.1.28,BSD-3-Clause,MPL_COPYLEFT,LICENSE.md,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- yiisoft-yii2-debug-0a2ce3c/LICENSE.md --- Copyright © 2008 by Yii Software LLC (http://www.yiisoft.com) All rights reserved.
1283,apimatic/core,0.3.18,MIT,MPL_COPYLEFT,LICENSE,NO,,1,CONFIRMED_VIOLATION_VIRAL_COPYLEFT,Permissive package imports viral copyleft dependency (apimatic/jsonmapper (OSL-3.0)) without copyleft distribution licensing.,--- apimatic-core-lib-php-7e3d2de/LICENSE --- MIT License Copyright (c) 2023 APIMatic Ltd
1343,iio/libmergepdf,4.0.4,WTFPL,MPL_COPYLEFT,LICENSE,YES,IN_CODE_LGPL; IN_CODE_GPL,14,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: tecnickcom/tcpdf (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf (LGPL-3.0-or-later), tecnickcom/tc-lib-barcode (LGPL-3.0-or-later), tecnickcom/tc-lib-color (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-image (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-font (LGPL-3.0-or-later), tecnickcom/tc-lib-file (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-encrypt (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-sign (LGPL-3.0-or-later), tecnickcom/tc-lib-unicode-data (LGPL-3.0-or-later), tecnickcom/tc-lib-unicode (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-page (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-graph (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-parser (LGPL-3.0-or-later)","--- hanneskod-libmergepdf-6613b97/tcpdi/LICENSE --- Apache License Version 2.0, January 2004"
1402,vladimir-yuldashev/laravel-queue-rabbitmq,v15.0.1,MIT,MPL_COPYLEFT,LICENSE.md,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (php-amqplib/php-amqplib (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- vyuldashev-laravel-queue-rabbitmq-9d029bc/LICENSE.md --- The MIT License (MIT) Copyright (c) Vladimir Yuldashev
1457,wikimedia/css-sanitizer,v6.2.1,Apache-2.0,MPL_COPYLEFT,LICENSE,YES,,2,CONFIRMED_VIOLATION_VIRAL_COPYLEFT,"Permissive package imports viral copyleft dependency (wikimedia/utfnormal (GPL-2.0-or-later), wikimedia/scoped-callback (GPL-2.0-or-later)) without copyleft distribution licensing.","--- wikimedia-css-sanitizer-60973b8/LICENSE --- Apache License Version 2.0, January 2004"
1487,yiisoft/yii2-queue,2.3.8,BSD-3-Clause,MPL_COPYLEFT,LICENSE.md,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- yiisoft-yii2-queue-e0f935e/LICENSE.md --- Copyright © 2008 by Yii Software LLC (http://www.yiisoft.com) All rights reserved.
1499,psalm/plugin-symfony,v5.3.0,MIT,MPL_COPYLEFT,LICENSE,NO,,1,CONFIRMED_VIOLATION_VIRAL_COPYLEFT,Permissive package imports viral copyleft dependency (netresearch/jsonmapper (OSL-3.0)) without copyleft distribution licensing.,--- psalm-psalm-plugin-symfony-df874ff/LICENSE --- MIT License Copyright (c) 2019 Farhad Safarov
1548,simplesamlphp/saml2,v6.3.0,Unspecified,GPL_COPYLEFT,LICENSE,NO,,5,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: simplesamlphp/assert (LGPL-2.1-or-later), simplesamlphp/xml-common (LGPL-2.1-or-later), simplesamlphp/composer-xmlprovider-installer (LGPL-2.1-only), simplesamlphp/xml-security (LGPL-2.1-or-later), simplesamlphp/xml-soap (LGPL-2.1-or-later)","--- simplesamlphp-saml2-5a18379/LICENSE --- GNU LESSER GENERAL PUBLIC LICENSE Version 2.1, February 1999"
1568,woocommerce/woocommerce-sniffs,2.0.0,MIT,MPL_COPYLEFT,LICENSE,NO,,2,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: phpcsstandards/phpcsutils (LGPL-3.0-or-later), phpcsstandards/phpcsextra (LGPL-3.0-or-later)",--- woocommerce-woocommerce-sniffs-906c75a/LICENSE --- The MIT License (MIT) Copyright (c) 2020 WooCommerce
1579,phan/phan,6.0.7,MIT,MPL_COPYLEFT,"LICENSE, LICENSE.LANGUAGE_SERVER, LICENSE.PHPSTORM_STUBS, LICENSE.PHP_PARSER",YES,,1,CONFIRMED_VIOLATION_VIRAL_COPYLEFT,Permissive package imports viral copyleft dependency (netresearch/jsonmapper (OSL-3.0)) without copyleft distribution licensing.,--- phan-phan-ecb8bae/LICENSE --- The MIT License (MIT) Copyright (c) 2015 Rasmus Lerdorf
1583,yiisoft/yii2-gii,2.2.7,BSD-3-Clause,MPL_COPYLEFT,LICENSE.md,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- yiisoft-yii2-gii-f17c7ef/LICENSE.md --- Copyright © 2008 by Yii Software LLC (http://www.yiisoft.com) All rights reserved.
1590,php-amqplib/rabbitmq-bundle,2.19.0,MIT,MPL_COPYLEFT,LICENSE,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (php-amqplib/php-amqplib (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- php-amqplib-RabbitMqBundle-e2f5d3f/LICENSE --- MIT License Copyright (c) 2010 Alvaro Videla
1591,hisorange/browser-detect,5.0.3,MIT,MPL_COPYLEFT,LICENSE,NO,,1,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,Unresolved copyleft conflict with: matomo/device-detector (LGPL-3.0-or-later),--- hisorange-browser-detect-6460325/LICENSE --- The MIT License (MIT) Copyright © Varga Zsolt
1606,yiisoft/yii2-redis,2.1.2,BSD-3-Clause,MPL_COPYLEFT,LICENSE.md,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- yiisoft-yii2-redis-8409051/LICENSE.md --- Copyright © 2008 by Yii Software LLC (http://www.yiisoft.com) All rights reserved.
1615,exercise/htmlpurifier-bundle,5.2,MIT,MPL_COPYLEFT,LICENSE,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.","--- Exercise-HTMLPurifierBundle-d7cb1c8/LICENSE --- https://github.com/Exercise/HTMLPurifierBundle/graphs/contributors Permission is hereby granted, free of charge, to any person obtaining a copy"
1627,yiisoft/yii2-bootstrap,2.0.11,BSD-3-Clause,MPL_COPYLEFT,LICENSE.md,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- yiisoft-yii2-bootstrap-83d144f/LICENSE.md --- Copyright © 2008 by Yii Software LLC (http://www.yiisoft.com) All rights reserved.
1706,yiisoft/yii2-faker,2.0.5,BSD-3-Clause,MPL_COPYLEFT,LICENSE.md,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- yiisoft-yii2-faker-8c36165/LICENSE.md --- Copyright © 2008-2018 by Yii Software LLC (http://www.yiisoft.com) All rights reserved.
1715,yiisoft/yii2-httpclient,2.0.17,BSD-3-Clause,MPL_COPYLEFT,LICENSE.md,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- yiisoft-yii2-httpclient-498e956/LICENSE.md --- Copyright © 2008-2013 by Yii Software LLC (http://www.yiisoft.com) All rights reserved.
1780,paypal/paypal-server-sdk,2.4.0,MIT,MPL_COPYLEFT,LICENSE,YES,,1,CONFIRMED_VIOLATION_VIRAL_COPYLEFT,Permissive package imports viral copyleft dependency (apimatic/jsonmapper (OSL-3.0)) without copyleft distribution licensing.,"--- paypal-PayPal-PHP-Server-SDK-b6be767/LICENSE --- The PayPal Server SDK is released under the following license: Copyright (c) 2024 PAYPAL, INC."
1819,shopware/core,v6.7.13.1,MIT,MPL_COPYLEFT,"payment_terms.xml.twig, license.html.twig, LICENSE",NO,,6,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: dompdf/php-svg-lib (LGPL-3.0-or-later), smalot/pdfparser (LGPL-3.0)",--- shopware-core-b104033/Framework/Resources/views/documents/zugferd/includes/payment_terms.xml.twig --- <ram:SpecifiedTradePaymentTerms> <ram:DueDateDateTime>
1822,yiisoft/yii2-symfonymailer,4.0.0,BSD-3-Clause,MPL_COPYLEFT,LICENSE.md,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- yiisoft-yii2-symfonymailer-21f4072/LICENSE.md --- Copyright © 2008-2013 by Yii Software LLC (http://www.yiisoft.com) All rights reserved.
1870,shopware/storefront,v6.7.13.1,MIT,MPL_COPYLEFT,"LICENSE, dev-server-notice-plugin.ts, LICENSE, LICENSE.md, LICENSE, privacy-notice.html.twig",NO,,6,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: dompdf/php-svg-lib (LGPL-3.0-or-later), smalot/pdfparser (LGPL-3.0)","--- shopware-storefront-9817285/LICENSE --- Copyright 2019 shopware AG Permission is hereby granted, free of charge, to any person obtaining a copy of this software and associated"
1878,prestashop/translationtools-bundle,v6.1.1,MIT,MPL_COPYLEFT,LICENSE.md,NO,,1,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,Unresolved copyleft conflict with: smarty/smarty (LGPL-3.0),--- PrestaShop-TranslationToolsBundle-f2766d2/LICENSE.md --- The MIT License (MIT) =====================
1879,statamic/cms,v6.30.0,proprietary,MPL_COPYLEFT,"LICENSE.md, LICENSE.txt, license.svg",NO,,1,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: james-heinrich/getid3 (GPL-1.0-or-later, LGPL-3.0-only)","--- statamic-cms-04b74b3/LICENSE.md --- Copyright © Statamic, LLC. Permission is hereby granted to any person obtaining a copy of this software (the “Software”) to use, copy, modify, merge, publish an"
1949,palantirnet/drupal-rector,1.1.2,MIT,NO_PHYSICAL_LICENSE_FILE,None,NO,,1,POTENTIAL_VIOLATION_NO_LICENSE,"Package lacks any physical LICENSE file in release archive, relying purely on composer.json string.",
1979,lesstif/php-jira-rest-client,5.12.1,Apache-2.0,MPL_COPYLEFT,LICENSE,NO,,1,CONFIRMED_VIOLATION_VIRAL_COPYLEFT,Permissive package imports viral copyleft dependency (netresearch/jsonmapper (OSL-3.0)) without copyleft distribution licensing.,"--- lesstif-php-jira-rest-client-ae39032/LICENSE --- Copyright (c) 2020 KwangSeob Jeong(lesstif@gmail.com) Licensed under the Apache License, Version 2.0 (the ""License"");"
1996,wamania/php-stemmer,v4.0.0,MIT,MPL_COPYLEFT,LICENSE,NO,,1,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,Unresolved copyleft conflict with: joomla/string (GPL-2.0-or-later),--- wamania-php-stemmer-d965092/LICENSE --- The MIT License (MIT) Copyright (c) 2016 wamania
2008,yiisoft/yii2-swiftmailer,2.1.3,BSD-3-Clause,MPL_COPYLEFT,LICENSE.md,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- yiisoft-yii2-swiftmailer-7b7ec87/LICENSE.md --- Copyright © 2008-2013 by Yii Software LLC (http://www.yiisoft.com) All rights reserved.
2010,workos/workos-php,v9.2.0,MIT,MPL_COPYLEFT,LICENSE,NO,,2,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: paragonie/halite (MPL-2.0), paragonie/hidden-string (MPL-2.0)",--- workos-workos-php-53d6cee/LICENSE --- MIT License Copyright (c) 2021 WorkOS
2050,square/square,46.1.0.20260819,MIT,MPL_COPYLEFT,LICENSE,NO,,1,CONFIRMED_VIOLATION_VIRAL_COPYLEFT,Permissive package imports viral copyleft dependency (apimatic/jsonmapper (OSL-3.0)) without copyleft distribution licensing.,--- square-square-php-sdk-fef7026/LICENSE --- MIT License Copyright (c) 2026 Square.
2064,coenjacobs/mozart,1.2.3,MIT,MPL_COPYLEFT,LICENSE,NO,,1,CONFIRMED_VIOLATION_VIRAL_COPYLEFT,Permissive package imports viral copyleft dependency (netresearch/jsonmapper (OSL-3.0)) without copyleft distribution licensing.,--- coenjacobs-mozart-5e20f29/LICENSE --- The MIT License (MIT) Copyright (c) Coen Jacobs <coenjacobs@gmail.com>
2070,shopware/elasticsearch,v6.7.13.1,MIT,MPL_COPYLEFT,LICENSE,NO,,6,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: dompdf/php-svg-lib (LGPL-3.0-or-later), smalot/pdfparser (LGPL-3.0)","--- shopware-elasticsearch-16f32cc/LICENSE --- Copyright 2019 shopware AG Permission is hereby granted, free of charge, to any person obtaining a copy of this software and associated"
2079,shopware/administration,v6.7.13.1,MIT,MPL_COPYLEFT,"LICENSE, sw-license-violation.html.twig, sw-license-violation.scss, license-violations.service.js, license-violation.store.ts, sw-settings-search-excluded-search-terms.html.twig, sw-settings-search-excluded-search-terms.scss, copyright-4167901b-_4K-k1QR.js, copyright-Cydwr03U.js, copyright-_4K-k1QR.js, copyright-d4dc7f38-Cydwr03U.js",NO,,6,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: dompdf/php-svg-lib (LGPL-3.0-or-later), smalot/pdfparser (LGPL-3.0)","--- shopware-administration-5bddb72/LICENSE --- Copyright 2019 shopware AG Permission is hereby granted, free of charge, to any person obtaining a copy of this software and associated"
2084,shopware/conflicts,0.6.2,MIT,NO_PHYSICAL_LICENSE_FILE,None,NO,,6,POTENTIAL_VIOLATION_NO_LICENSE,"Package lacks any physical LICENSE file in release archive, relying purely on composer.json string.",
2108,wp-cli/wp-cli-tests,v5.2.3,MIT,MPL_COPYLEFT,LICENSE,NO,,3,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: wp-hooks/wordpress-core (GPL-3.0-or-later), phpcsstandards/phpcsutils (LGPL-3.0-or-later), phpcsstandards/phpcsextra (LGPL-3.0-or-later)",--- wp-cli-wp-cli-tests-d11decc/LICENSE --- The MIT License (MIT) Copyright (C) 2011-2018 WP-CLI Development Group (https://github.com/wp-cli/wp-cli/contributors)
2119,enqueue/amqp-lib,0.10.27,MIT,MPL_COPYLEFT,LICENSE,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (php-amqplib/php-amqplib (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- php-enqueue-amqp-lib-bb4c9e7/LICENSE --- The MIT License (MIT) Copyright (c) 2017 Paul McLaren
2126,lucatume/wp-browser,4.7.2,MIT,GPL_COPYLEFT,"LICENSE, LICENSE, LICENSE",YES,,1,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,Unresolved copyleft conflict with: druidfi/mysqldump-php (GPL-3.0-or-later),--- lucatume-wp-browser-ec746e4/LICENSE --- MIT License Copyright (c) 2020 Luca Tumedei
2135,yiisoft/yii2-jui,2.0.7,BSD-3-Clause,MPL_COPYLEFT,LICENSE.md,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- yiisoft-yii2-jui-ce45c16/LICENSE.md --- The Yii framework is free software. It is released under the terms of the following BSD License.
2160,vardot/ckeditor5-anchor-drupal,2.0.5,MIT,MPL_COPYLEFT,"LICENSE, LICENSE.md",NO,,2,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: drupal/core (GPL-2.0-or-later), drupal/core-composer-scaffold (GPL-2.0-or-later)","--- Vardot-ckeditor5-anchor-drupal-3da1fa2/LICENSE --- MIT License Permission is hereby granted, free of charge, to any person obtaining a copy of this software and associated documentation files (the"
2213,psalm/plugin-laravel,v4.15.7,MIT,MPL_COPYLEFT,LICENSE,NO,,1,CONFIRMED_VIOLATION_VIRAL_COPYLEFT,Permissive package imports viral copyleft dependency (netresearch/jsonmapper (OSL-3.0)) without copyleft distribution licensing.,--- psalm-psalm-plugin-laravel-51e8303/LICENSE --- MIT License Copyright (c) 2020 Psalm
2247,carlos-meneses/laravel-mpdf,2.1.13,MIT,NO_PHYSICAL_LICENSE_FILE,None,NO,,1,POTENTIAL_VIOLATION_NO_LICENSE,"Package lacks any physical LICENSE file in release archive, relying purely on composer.json string.",
2305,setasign/fpdi-tcpdf,v2.3.0,MIT,MPL_COPYLEFT,LICENSE.txt,NO,,14,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,"Unresolved copyleft conflict with: tecnickcom/tcpdf (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf (LGPL-3.0-or-later), tecnickcom/tc-lib-barcode (LGPL-3.0-or-later), tecnickcom/tc-lib-color (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-image (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-font (LGPL-3.0-or-later), tecnickcom/tc-lib-file (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-encrypt (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-sign (LGPL-3.0-or-later), tecnickcom/tc-lib-unicode-data (LGPL-3.0-or-later), tecnickcom/tc-lib-unicode (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-page (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-graph (LGPL-3.0-or-later), tecnickcom/tc-lib-pdf-parser (LGPL-3.0-or-later)","--- Setasign-FPDI-TCPDF-f6711a9/LICENSE.txt --- The MIT License (MIT) Copyright (c) 2020 Setasign GmbH & Co. KG, https://www.setasign.com"
2326,weirdan/doctrine-psalm-plugin,v2.10.0,MIT,NO_PHYSICAL_LICENSE_FILE,None,NO,,1,CONFIRMED_VIOLATION_VIRAL_COPYLEFT,Permissive package imports viral copyleft dependency (netresearch/jsonmapper (OSL-3.0)) without copyleft distribution licensing.,
2387,yiisoft/yii2-authclient,2.2.17,BSD-3-Clause,MPL_COPYLEFT,LICENSE.md,NO,,1,BENIGN_LGPL_DYNAMIC_WRAPPER,"Runtime Composer autoload of unmodified LGPL library (ezyang/htmlpurifier (LGPL-2.1-or-later)). Valid under dynamic linking spirit, but lacks third-party notice.",--- yiisoft-yii2-authclient-3e095a9/LICENSE.md --- Copyright © 2008-2013 by Yii Software LLC (http://www.yiisoft.com) All rights reserved.
2400,saschaegerer/phpstan-typo3,3.1.0,MIT,MPL_COPYLEFT,LICENSE,NO,,7,CONFIRMED_VIOLATION_VIRAL_COPYLEFT,"Permissive package imports viral copyleft dependency (typo3/cms-core (GPL-2.0-or-later), enshrined/svg-sanitize (GPL-2.0-or-later), typo3/cms-cli (GPL-2.0-or-later), typo3/cms-composer-installers (GPL-2.0-or-later), typo3fluid/fluid (LGPL-3.0-or-later), typo3/cms-extbase (GPL-2.0-or-later), bnf/phpstan-psr-container (GPL-2.0-or-later)) without copyleft distribution licensing.",--- sascha-egerer-phpstan-typo3-a5e6752/LICENSE --- MIT License Copyright (c) 2017 Sascha Egerer
2436,ssch/typo3-debug-dump-pass,v0.0.3,MIT,NO_PHYSICAL_LICENSE_FILE,None,NO,,5,CONFIRMED_VIOLATION_VIRAL_COPYLEFT,"Permissive package imports viral copyleft dependency (typo3/cms-core (GPL-2.0-or-later), enshrined/svg-sanitize (GPL-2.0-or-later), typo3/cms-cli (GPL-2.0-or-later), typo3/cms-composer-installers (GPL-2.0-or-later), typo3fluid/fluid (LGPL-3.0-or-later)) without copyleft distribution licensing.",
2439,kartik-v/yii2-mpdf,v1.0.6,BSD-3-Clause,MPL_COPYLEFT,LICENSE.md,NO,,1,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,Unresolved copyleft conflict with: mpdf/mpdf (GPL-2.0-only),"--- kartik-v-yii2-mpdf-7ea3a5f/LICENSE.md --- Copyright (c) 2014 - 2020, Kartik Visweswaran Krajee.com"
2452,johnbillion/wp-compat,2.0.1,MIT,MPL_COPYLEFT,LICENSE,NO,,1,CONFIRMED_VIOLATION_UNRESOLVED_TAINT,Unresolved copyleft conflict with: wp-hooks/wordpress-core (GPL-3.0-or-later),--- johnbillion-wp-compat-b2e32bd/LICENSE --- MIT License Copyright (c) 2024 John Blackbourn
