rank,slug,name,version,active_installs,declared_license,verdict,findings_count,findings
19,insert-headers-and-footers,WPCode &#8211; Insert Headers and Footers + Custom Code Snippets &#8211; WordPress Code Manager,2.3.9,3000000,GPLv2 or later,GPL_ALIGNED,0,
20,hostinger,Hostinger Tools,3.0.77,3000000,GPLv3,GPL_ALIGNED,0,
21,all-in-one-seo-pack,"All in One SEO – AI SEO Plugin to Boost SEO Rankings &amp; Traffic (Schema, Local SEO, Sitemap &amp; SEO Insights)",5.0.1.1,2000000,GPLv3 or later,GPL_ALIGNED,0,
22,redirection,Redirection,5.10.0,2000000,GPLv3,GPL_ALIGNED,0,
23,wordpress-importer,WordPress Importer,0.9.6,2000000,GPLv2 or later,GPL_ALIGNED,0,
24,classic-widgets,Classic Widgets,0.3,2000000,GPLv2 or later,GPL_ALIGNED,0,
25,google-analytics-for-wordpress,MonsterInsights &#8211; Google Analytics Dashboard for WordPress (Website Stats Made Easy),11.1.3,2000000,GPL v3,GPL_ALIGNED,0,
26,header-footer-elementor,"Ultimate Addons for Elementor – Widgets, Templates, WooCommerce &amp; Header Footer Builder",2.9.4,2000000,GPLv2 or later,GPL_ALIGNED,0,
27,wps-hide-login,WPS Hide Login,1.9.19,2000000,GPLv2 or later,GPL_ALIGNED,0,
28,advanced-custom-fields,Advanced Custom Fields (ACF®),6.8.9,2000000,GPLv2 or later,GPL_ALIGNED,0,
29,essential-addons-for-elementor-lite,Essential Addons for Elementor &#8211; Popular Elementor Templates &amp; Widgets,6.8.1,1000000,GPLv3,PROPRIETARY_CLAUSES_IN_GPL_PLUGIN,4,Proprietary notice in assets/front-end/js/lib-view/full-calendar/daygrid.js | Proprietary notice in assets/front-end/js/lib-view/full-calendar/listgrid.js | Proprietary notice in assets/front-end/js/lib-view/full-calendar/timegrid.js | Proprietary notice in assets/front-end/js/lib-view/gsap/Draggable.js
30,tinymce-advanced,Advanced Editor Tools,5.10.1,1000000,GPLv2,GPL_ALIGNED,0,
31,elementskit-lite,ElementsKit Elementor Addons – Advanced Widgets &amp; Templates Addons for Elementor,4.0.2,1000000,GPLv3 or later,GPL_ALIGNED,0,
32,astra-sites,Starter Templates – AI-Powered Templates for Elementor &amp; Gutenberg,4.7.5,1000000,GPLv2 or later,GPL_ALIGNED,0,
33,limit-login-attempts-reloaded,"Limit Login Attempts Security &#8211; Login Security, 2FA, Firewall, Brute Force Prevention",3.3.5,1000000,GPLv2 or later,GPL_ALIGNED,0,
34,mailchimp-for-wp,MC4WP: Mailchimp for WordPress,4.14.0,1000000,GPL-3.0-or-later,GPL_ALIGNED,0,
35,code-snippets,Code Snippets,3.10.1,1000000,GPL-2.0-or-later,GPL_ALIGNED,0,
36,loco-translate,Loco Translate,2.8.8,1000000,GPLv2 or later,GPL_ALIGNED,0,
37,disable-comments,Disable Comments &#8211; Remove Comments &amp; Stop Spam [Multi-Site Support],2.8.0,1000000,GPL-3.0-or-later,GPL_ALIGNED,0,
38,wp-super-cache,WP Super Cache,3.1.3,1000000,GPLv2 or later,GPL_ALIGNED,0,
39,better-search-replace,Better Search Replace,1.4.11,1000000,Unknown,GPL_ALIGNED,0,
40,cookie-law-info,CookieYes – Cookie Banner for Cookie Consent (Easy to setup GDPR/CCPA Compliant Cookie Notice),3.5.5,1000000,GPLv3,GPL_ALIGNED,0,
41,duplicator,"Duplicator &#8211; Backups &amp; Migration Plugin &#8211; Cloud Backups, Scheduled Backups, &amp; More",1.5.17,1000000,GPLv2,GPL_ALIGNED,0,
42,wp-file-manager,File Manager,8.0.4,1000000,GPLv2 or later,PROPRIETARY_CLAUSES_IN_GPL_PLUGIN,1,Proprietary notice in lib/php/libs/GdBmp.php
43,sg-cachepress,Speed Optimizer &#8211; The All-In-One Performance-Boosting Plugin,7.8.2,1000000,GPLv3,PROPRIETARY_CLAUSES_IN_GPL_PLUGIN,9,Proprietary notice in vendor/matthiasmullie/minify/src/CSS.php | Proprietary notice in vendor/matthiasmullie/minify/src/Exceptions/BasicException.php | Proprietary notice in vendor/matthiasmullie/minify/src/Exceptions/FileImportException.php | Proprietary notice in vendor/matthiasmullie/minify/src/Exceptions/IOException.php | Proprietary notice in vendor/matthiasmullie/minify/src/JS.php | Proprietary notice in vendor/matthiasmullie/minify/src/Minify.php | Proprietary notice in vendor/matthiasmullie/path-converter/src/ConverterInterface.php | Proprietary notice in vendor/matthiasmullie/path-converter/src/Converter.php | Proprietary notice in vendor/matthiasmullie/path-converter/src/NoConverter.php
44,hostinger-reach,Hostinger Reach &#8211; AI-Powered Email Marketing for WordPress,1.7.2,1000000,GPLv2 or later,GPL_ALIGNED,0,
45,complianz-gdpr,Complianz GDPR/CCPA Cookie Consent Banner,7.5.3.1,1000000,GPL2,GPL_ALIGNED,0,
46,loginizer,Loginizer,2.1.0,1000000,LGPLv2.1,GPL_ALIGNED,0,
47,sg-ai-studio,AI Agent by SiteGround,1.2.9,1000000,GPLv3,GPL_ALIGNED,0,
48,wp-fastest-cache,WP Fastest Cache &#8211; WordPress Cache Plugin,1.5.1,1000000,GPLv2 or later,GPL_ALIGNED,0,
49,svg-support,SVG Support,2.6.1,1000000,GPLv2 or later,GPL_ALIGNED,0,
50,custom-post-type-ui,Custom Post Type UI,1.19.3,1000000,GPL-2.0+,GPL_ALIGNED,0,
51,sg-security,Security Optimizer &#8211; The All-In-One Protection Plugin,1.6.8,1000000,GPLv3,PROPRIETARY_CLAUSES_IN_GPL_PLUGIN,1,Proprietary notice in vendor/siteground/googleauthenticator/LICENSE.md
52,wp-optimize,"WP-Optimize – Cache, Compress images, Minify &amp; Clean database to boost page speed &amp; performance",4.6.1,1000000,GPLv2+,PROPRIETARY_CLAUSES_IN_GPL_PLUGIN,10,Proprietary notice in vendor/matthiasmullie/minify/src/CSS.php | Proprietary notice in vendor/matthiasmullie/minify/src/Exceptions/BasicException.php | Proprietary notice in vendor/matthiasmullie/minify/src/Exceptions/FileImportException.php | Proprietary notice in vendor/matthiasmullie/minify/src/Exceptions/IOException.php | Proprietary notice in vendor/matthiasmullie/minify/src/Exceptions/PatternMatchException.php | Proprietary notice in vendor/matthiasmullie/minify/src/JS.php | Proprietary notice in vendor/matthiasmullie/minify/src/Minify.php | Proprietary notice in vendor/matthiasmullie/path-converter/src/ConverterInterface.php | Proprietary notice in vendor/matthiasmullie/path-converter/src/Converter.php | Proprietary notice in vendor/matthiasmullie/path-converter/src/NoConverter.php
53,worker,ManageWP Worker,4.9.38,1000000,GPLv3 or later,GPL_ALIGNED,0,
54,safe-svg,Safe SVG,2.4.0,1000000,GPL-2.0-or-later,GPL_ALIGNED,0,
55,optinmonster,Popup Builder &amp; Popup Maker for WordPress – OptinMonster Email Marketing and Lead Generation,2.17.1,1000000,GNU General Public License v2.0 or later,GPL_ALIGNED,0,
56,google-sitemap-generator,XML Sitemap Generator for Google,4.1.24,1000000,GPLv2 or later,GPL_ALIGNED,0,
57,ultimate-addons-for-gutenberg,Spectra Legacy – Gutenberg Blocks,2.20.3,1000000,GPLv2 or later,GPL_ALIGNED,0,
58,maintenance,Maintenance,4.32,1000000,GPLv2 or later,GPL_ALIGNED,0,
59,image-optimization,Image Optimization &#8211; Compress Images and Convert to WebP or AVIF,1.7.6,1000000,GPL-3,GPL_ALIGNED,0,
60,one-click-demo-import,One Click Demo Import,3.4.1,1000000,GPLv3 or later,GPL_ALIGNED,0,
61,ewww-image-optimizer,EWWW Image Optimizer,8.7.6,1000000,GPLv3,GPL_ALIGNED,0,
62,all-in-one-wp-security-and-firewall,All-In-One Security (AIOS) – Security and Firewall,5.4.9,1000000,GPLv3 or later,GPL_ALIGNED,0,
63,instagram-feed,Smash Balloon Social Photo Feed – Easy Social Feeds Plugin,6.12.0,1000000,Unknown,GPL_ALIGNED,0,
64,regenerate-thumbnails,Regenerate Thumbnails,3.1.6,1000000,GPLv2 or later,GPL_ALIGNED,0,
65,wp-smushit,"Smush – Image Optimization, Compression, Lazy Load, WebP &amp; CDN",4.3.2,1000000,GPL v2 - http://www.gnu.org/licenses/old-licenses/gpl-2.0.html,GPL_ALIGNED,0,
66,wp-multibyte-patch,WP Multibyte Patch,2.9.3,1000000,Unknown,GPL_ALIGNED,0,
67,imagify,Imagify Image Optimization: Optimize Images | Compress &amp; Convert to WebP/AVIF,2.3.3,1000000,GPLv3,GPL_ALIGNED,0,
68,wp-reviews-plugin-for-google,Widgets for Google Reviews,13.3.2,900000,GPLv2 or later,GPL_ALIGNED,0,
69,wpvivid-backuprestore,"WPvivid — Backup, Migration &amp; Staging",0.9.133,900000,GPLv3 or later,PROPRIETARY_CLAUSES_IN_GPL_PLUGIN,10,Proprietary notice in includes/customclass/class-wpvivid-s3.php | Proprietary notice in includes/lib2/google-api-php-client/src/WPvivid/Google/AuthHandler/AuthHandlerFactory.php | Proprietary notice in includes/lib/aws-sdk-php-2.8.31/src/Aws/Common/Aws.php | Proprietary notice in includes/lib/aws-sdk-php-2.8.31/src/Aws/Common/Client/AbstractClient.php | Proprietary notice in includes/lib/aws-sdk-php-2.8.31/src/Aws/Common/Client/AwsClientInterface.php | Proprietary notice in includes/lib/aws-sdk-php-2.8.31/src/Aws/Common/Client/ClientBuilder.php | Proprietary notice in includes/lib/aws-sdk-php-2.8.31/src/Aws/Common/Client/DefaultClient.php | Proprietary notice in includes/lib/aws-sdk-php-2.8.31/src/Aws/Common/Client/ExpiredCredentialsChecker.php | Proprietary notice in includes/lib/aws-sdk-php-2.8.31/src/Aws/Common/Client/ThrottlingErrorChecker.php | Proprietary notice in includes/lib/aws-sdk-php-2.8.31/src/Aws/Common/Client/UploadBodyListener.php
70,redux-framework,Redux Framework,4.5.13,900000,GPL-3.0+,PROPRIETARY_CLAUSES_IN_GPL_PLUGIN,1,Proprietary notice in redux-core/inc/extensions/color_scheme/color_scheme/inc/class-redux-color-scheme-functions.php
71,gtranslate,Translate WordPress with GTranslate,3.1.1,900000,GPLv2 or later,GPL_ALIGNED,0,
72,w3-total-cache,W3 Total Cache,2.10.5,900000,GPLv2 or later,PROPRIETARY_CLAUSES_IN_GPL_PLUGIN,10,Proprietary notice in lib/Minify/Minify.php | Proprietary notice in lib/Minify/Minify/YUI/CssCompressor.php | Proprietary notice in lib/S3Compatible.php | Proprietary notice in lib/SNS/sdk.class.php | Proprietary notice in lib/SNS/services/MessageValidator/Message.php | Proprietary notice in lib/SNS/services/MessageValidator/MessageValidator.php | Proprietary notice in lib/SNS/services/MessageValidator/sns-exceptions.php | Proprietary notice in lib/SNS/services/sns.class.php | Proprietary notice in lib/SNS/utilities/request.class.php | Proprietary notice in lib/SNS/utilities/response.class.php
73,cookie-notice,"Cookie Compliance for WordPress – Cookie Consent, GDPR &amp; CCPA",3.1.9,900000,MIT License,GPL_ALIGNED,0,
74,google-listings-and-ads,Google for WooCommerce,3.9.1,800000,GPLv3,PROPRIETARY_CLAUSES_IN_GPL_PLUGIN,10,Proprietary notice in vendor/google/apiclient/src/AuthHandler/AuthHandlerFactory.php | Proprietary notice in vendor/google/auth/src/Cache/SysVCacheItemPool.php | Proprietary notice in vendor/google/auth/src/HttpHandler/Guzzle6HttpHandler.php | Proprietary notice in vendor/google/auth/src/HttpHandler/HttpHandlerFactory.php | Proprietary notice in vendor/google/protobuf/src/Google/Protobuf/Descriptor.php | Proprietary notice in vendor/google/protobuf/src/Google/Protobuf/DescriptorPool.php | Proprietary notice in vendor/google/protobuf/src/Google/Protobuf/EnumDescriptor.php | Proprietary notice in vendor/google/protobuf/src/Google/Protobuf/EnumValueDescriptor.php | Proprietary notice in vendor/google/protobuf/src/Google/Protobuf/FieldDescriptor.php | Proprietary notice in vendor/google/protobuf/src/Google/Protobuf/Internal/CodedInputStream.php
75,woocommerce-payments,WooPayments: Integrated WooCommerce Payments,11.0.1,800000,GPLv2 or later,GPL_ALIGNED,0,
76,polylang,Polylang,3.8.7,800000,GPLv3 or later,GPL_ALIGNED,0,
77,autoptimize,Autoptimize,3.1.15.1,800000,GPLv3,PROPRIETARY_CLAUSES_IN_GPL_PLUGIN,1,Proprietary notice in classes/external/php/yui-php-cssmin-bundled/Minifier.php
78,smart-slider-3,Smart Slider 3,3.5.1.39,800000,GPLv3 or later,GPL_ALIGNED,0,
79,breadcrumb-navxt,Breadcrumb NavXT,7.5.2,800000,GPLv2 or later,GPL_ALIGNED,0,
80,flamingo,Flamingo,2.6.4,800000,GPLv2 or later,GPL_ALIGNED,0,
81,woocommerce-paypal-payments,WooCommerce PayPal Payments,4.1.2,800000,GPLv2,GPL_ALIGNED,0,
82,duracelltomi-google-tag-manager,GTM4WP &#8211; A Google Tag Manager (GTM) plugin for WordPress,1.22.5,700000,GPLv3,GPL_ALIGNED,0,
83,fluentform,"Fluent Forms – Customizable Contact Forms, Survey, Quiz, &amp; Conversational Form Builder",6.2.13,700000,GPLv3,GPL_ALIGNED,0,
84,antispam-bee,Antispam Bee,2.11.13,700000,GPLv2 or later,GPL_ALIGNED,0,
85,woocommerce-gateway-stripe,WooCommerce Stripe Payment Gateway,10.9.0,700000,GPLv3,GPL_ALIGNED,0,
86,mainwp-child,MainWP Child &#8211; Securely Connects to the MainWP Dashboard to Manage Multiple Sites,6.1.8,700000,GPLv3 or later,GPL_ALIGNED,0,
87,better-wp-security,"Kadence Security – Password, Two Factor Authentication, and Brute Force Protection",10.0.3,700000,GPLv2 or later,GPL_ALIGNED,0,
88,creame-whatsapp-me,Joinchat &#8211; Enhanced &quot;click to chat&quot;,6.3.2,700000,Unknown,GPL_ALIGNED,0,
89,user-role-editor,User Role Editor,4.66.1,700000,GPLv2 or later,GPL_ALIGNED,0,
90,popup-maker,"Popup Maker &#8211; Boost Sales, Conversions, Optins, Subscribers with the Ultimate WP Popup Builder",1.24.0,700000,GPLv2 or later,GPL_ALIGNED,0,
91,coming-soon,"Website Builder by SeedProd — Theme Builder, Landing Page Builder, Coming Soon Page, Maintenance Mode",6.20.9,700000,Unknown,GPL_ALIGNED,0,
92,click-to-chat-for-whatsapp,Click to Chat &#8211; HoliThemes,4.43,600000,GPLv2 or later,GPL_ALIGNED,0,
93,premium-addons-for-elementor,"Premium Addons for Elementor &#8211; Elementor Templates, Widgets &amp; MCP Tools",4.11.101,600000,GPL v3.0,PROPRIETARY_CLAUSES_IN_GPL_PLUGIN,3,Proprietary notice in assets/frontend/js/Draggable.js | Proprietary notice in assets/frontend/js/scrollTrigger.js | Proprietary notice in assets/frontend/js/TweenMax.js
94,the-events-calendar,The Events Calendar,6.17.3.1,600000,GPLv3,GPL_ALIGNED,0,
95,backuply,"Backuply &#8211; Backup, Restore, Migrate and Clone",1.5.6,600000,LGPL v2.1,PROPRIETARY_CLAUSES_IN_GPL_PLUGIN,1,Proprietary notice in lib/bcloud.php
96,tablepress,TablePress &#8211; Tables in WordPress made easy,3.3.4,600000,GPLv2,PROPRIETARY_CLAUSES_IN_GPL_PLUGIN,1,Proprietary notice in libraries/vendor/PhpSpreadsheet/Calculation/Statistical/Distributions/StudentT.php
97,enable-media-replace,Enable Media Replace,4.2.2,600000,GPLv2 or later,GPL_ALIGNED,0,
98,custom-css-js,Simple Custom CSS and JS,3.54,600000,GPLv3,GPL_ALIGNED,0,
99,post-types-order,Post Types Order,2.5,600000,GPLv2 or later,GPL_ALIGNED,0,
100,royal-elementor-addons,Royal Addons for Elementor – Addons and Templates Kit for Elementor,1.7.1066,600000,GPLv3,PROPRIETARY_CLAUSES_IN_GPL_PLUGIN,1,Proprietary notice in assets/js/lib/gsap/gsap.min.js
